date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01 00:00:00,7.8,2,13.8,0,,,7.3,,1023,
2017-01-02 00:00:00,7.2,3.8,13.3,0,,,4.8,,1017.7,
2017-01-03 00:00:00,8.2,3.5,13.7,0,,,8.1,,1014.4,
2017-01-04 00:00:00,8.7,3.6,14,0,,,9.5,,1014.2,
2017-01-05 00:00:00,5.6,4.6,10.4,0,,,17.3,,1018.2,
2017-01-06 00:00:00,4.1,1.7,8.8,0,,,8.3,,1024.2,
2017-01-07 00:00:00,4.5,0.1,8.7,0,,,6,,1022.1,
2017-01-08 00:00:00,3.9,2,5.9,,,,10.6,,1014.6,
2017-01-09 00:00:00,7.3,4.2,11.1,24.9,,,12.2,,1001.8,
2017-01-10 00:00:00,8.1,3.5,12.7,1,,,8.4,,1009.1,
2017-01-11 00:00:00,7.1,4.6,10.2,,,,8.9,,1010.2,
2017-01-12 00:00:00,6.2,0.7,12.1,0,,,5.9,,1005.9,
2017-01-13 00:00:00,5.8,2.2,12.7,0,,,6.8,,1001.7,
2017-01-14 00:00:00,1.6,-0.3,6.3,0,,,10,,1002,
2017-01-15 00:00:00,0.8,-2.3,4.7,0,,,10.9,,1008.8,
2017-01-16 00:00:00,4.2,-2.2,8,0,,,12.2,,1011.1,
2017-01-17 00:00:00,5.6,0.7,10.9,0,,,8.6,,1022,
2017-01-18 00:00:00,6.6,1.1,10.3,0,,,8.8,,1026.6,
2017-01-19 00:00:00,5.8,,10.9,0,,,11.6,,1018.8,
2017-01-20 00:00:00,3,2.3,3.5,,,,9,,1011,
2017-01-21 00:00:00,5.7,1.2,11,0,,,13.4,,1014.1,
2017-01-22 00:00:00,6.3,0.9,12.9,0,,,7.9,,1012.8,
2017-01-23 00:00:00,2.8,1.2,7.9,0,,,16.8,,1011.9,
2017-01-24 00:00:00,2.6,-1.9,7.7,0,,,13,,1019.5,
2017-01-25 00:00:00,3.8,-0.9,9.1,,,,11.8,,1025.4,
2017-01-26 00:00:00,5.9,-1.4,10.7,0,,,7.4,,1027.1,
2017-01-27 00:00:00,9.4,1.4,16,0,,,11.5,,1019.2,
2017-01-28 00:00:00,8.2,4.6,13.6,0,,,7.7,,1023.2,
2017-01-29 00:00:00,8.7,4.8,12,0,,,6.5,,1020.9,
2017-01-30 00:00:00,9.8,,19.5,0,,,10.4,,1003.8,
2017-01-31 00:00:00,5.7,3,10,0,,,15.5,,1018.8,
2017-02-01 00:00:00,5.6,2.4,10.6,0,,,10,,1014.2,
2017-02-02 00:00:00,5.2,0.9,9.7,0,,,15.4,,1012.8,
2017-02-03 00:00:00,7.8,1,13.7,0,,,14.8,,1015.2,
2017-02-04 00:00:00,8.1,5.1,13.4,0,,,11,,1018.7,
2017-02-05 00:00:00,7.5,3.4,9.9,0,,,6.4,,1012.2,
2017-02-06 00:00:00,8.1,3.3,15.7,0,,,13.4,,999.9,
2017-02-07 00:00:00,5.3,2.2,10,0,,,19.5,,1010.7,
2017-02-08 00:00:00,6.3,2.7,11,0,,,11.4,,1013.3,
2017-02-09 00:00:00,2.2,1,3.1,0,,,10.4,,1004.9,
2017-02-10 00:00:00,3.6,2.3,9.3,8.4,,,13.6,,999,
2017-02-11 00:00:00,4.4,-1.6,10.1,0,,,9.2,,1007.7,
2017-02-12 00:00:00,5.3,-0.4,11.2,0,,,14.7,,1015,
2017-02-13 00:00:00,6.6,1,11.8,0,,,11.2,,1021.6,
2017-02-14 00:00:00,5.9,2.3,11.8,0,,,13.2,,1022.9,
2017-02-15 00:00:00,6.7,1.2,12.8,0,,,11,,1025.1,
2017-02-16 00:00:00,7.2,1.7,12.1,,,,7.6,,1024,
2017-02-17 00:00:00,13.3,4.8,20.6,0,,,17.3,,1012.4,
2017-02-18 00:00:00,6.4,6.7,10.7,0,,,10.5,,1012.2,
2017-02-19 00:00:00,6.3,1.6,11.5,0,,,13.3,,1015,
2017-02-20 00:00:00,10.5,1.8,19.7,0,,,14.4,,1003.3,
2017-02-21 00:00:00,5.2,4.1,9.9,6.6,,,19.9,,1015.5,
2017-02-22 00:00:00,6.7,1.6,10.2,,,,12.7,,1023.6,
2017-02-23 00:00:00,10.7,8.7,16.3,0,,,15.8,,1002.4,
2017-02-24 00:00:00,6.8,5.3,11.3,0.5,,,16.2,,1011.6,
2017-02-25 00:00:00,7.5,3.7,11.8,,,,7.8,,1016.9,
2017-02-26 00:00:00,8.9,3.3,14.2,0,,,7.7,,1018.2,
2017-02-27 00:00:00,5.4,4.6,9.7,0,,,9.7,,1024.4,
2017-02-28 00:00:00,5.2,3.3,10.1,0,,,9.6,,1025.7,
2017-03-01 00:00:00,7.4,1.4,11.1,0,,,6.2,,1021.9,
2017-03-02 00:00:00,6.6,5.7,8.7,7.9,,,8,,1008.4,
2017-03-03 00:00:00,8.6,4.3,16,6.1,,,11.3,,1009.4,
2017-03-04 00:00:00,9.3,3,14.6,0,,,8.2,,1017.4,
2017-03-05 00:00:00,11.1,4.9,15.9,0,,,8.8,,1014.8,
2017-03-06 00:00:00,8.6,8,11.5,0,,,6.6,,1005.3,
2017-03-07 00:00:00,4.9,3.7,10.9,1,,,11.8,,1003.1,
2017-03-08 00:00:00,6,0,11.8,0.5,,,6.8,,1005.5,
2017-03-09 00:00:00,8.4,1.3,13,0,,,10,,1006.1,
2017-03-10 00:00:00,8.4,3.2,14.8,0,,,9.9,,1009.7,
2017-03-11 00:00:00,7.6,4.5,13.2,0,,,11.6,,1019.1,
2017-03-12 00:00:00,8.3,3.1,12.2,0,,,9.4,,1023.2,
2017-03-13 00:00:00,8.8,6,12.8,0,,,7.5,,1018.6,
2017-03-14 00:00:00,8.2,6.4,10.8,,,,9.5,,1008.6,
2017-03-15 00:00:00,4.9,4.1,7.5,1,,,11.8,,1007.5,
2017-03-16 00:00:00,8.9,1.9,15.5,0,,,9,,1015.1,
2017-03-17 00:00:00,9.7,3.8,15.2,0,,,10.7,,1018.2,
2017-03-18 00:00:00,10.7,3.6,16.2,0,,,10.4,,1020.7,
2017-03-19 00:00:00,12.7,5.1,18.6,0,,,10.9,,1019.3,
2017-03-20 00:00:00,12.9,7,18.7,0,,,12.9,,1021,
2017-03-21 00:00:00,8.2,7.2,10.8,7.9,,,11.1,,1008.6,
2017-03-22 00:00:00,9.7,5.9,15,17.5,,,20.4,,1011.1,
2017-03-23 00:00:00,9.9,4.3,15.7,0,,,7.6,,1016,
2017-03-24 00:00:00,7.6,5.4,13.9,0,,,13.1,,1016,
2017-03-25 00:00:00,8.2,3.4,12.7,0,,,11,,1020.4,
2017-03-26 00:00:00,5.2,4.9,6.7,2.5,,,10,,1018.6,
2017-03-27 00:00:00,5.4,2.4,8.3,26.9,,,13.1,,1010.2,
2017-03-28 00:00:00,8.8,3.2,14.9,4.6,,,9.1,,1018.2,
2017-03-29 00:00:00,9.7,4.3,14.7,0,,,10,,1022.2,
2017-03-30 00:00:00,12.8,6.3,17.8,0,,,8.1,,1018.2,
2017-03-31 00:00:00,6.9,5,12.2,0,,,11,,1017.2,
2017-04-01 00:00:00,6.6,4.6,8.9,11.9,,,9.3,,1014,
2017-04-02 00:00:00,9.3,4.6,14.2,0,,,8.7,,1014,
2017-04-03 00:00:00,9.4,7.3,16.1,0,,,9.8,,1016.3,
2017-04-04 00:00:00,12.5,4.5,17.3,1.5,,,10.1,,1023.9,
2017-04-05 00:00:00,16,7.7,20.7,0,,,12.2,,1026.3,
2017-04-06 00:00:00,17.3,12.9,21.2,0,,,20.7,,1022.9,
2017-04-07 00:00:00,17.2,15.5,21.6,3.6,,,20.2,,1015.6,
2017-04-08 00:00:00,15.2,12.6,17.7,7.1,,,7.6,,1012.7,
2017-04-09 00:00:00,11.8,11.9,15.1,2,,,7.7,,1007.7,
2017-04-10 00:00:00,10.2,7.3,15.7,7.1,,,10.7,,1020,
2017-04-11 00:00:00,8.5,6.4,10.4,,,,10.9,,1008.5,
2017-04-12 00:00:00,13.7,,21.6,42.9,,,13.6,,1001.4,
2017-04-13 00:00:00,12.3,6.7,17.6,0,,,11.4,,1013.4,
2017-04-14 00:00:00,17.6,7.4,21.5,0,,,13.1,,1016.7,
2017-04-15 00:00:00,17.8,14.9,24.2,0,,,17.4,,1013.3,
2017-04-16 00:00:00,19.4,12,26.1,0,,,9.6,,1013.6,
2017-04-17 00:00:00,18.8,13.8,26.1,0,,,10.8,,1012.8,
2017-04-18 00:00:00,19.2,15,25.7,30.5,,,17,,992.9,
2017-04-19 00:00:00,17.1,13.6,26.1,0,,,16,,998.5,
2017-04-20 00:00:00,16.3,10.9,21.1,0,,,12.9,,1011.6,
2017-04-21 00:00:00,15.6,13,19.2,0,,,6.4,,1008.2,
2017-04-22 00:00:00,12.9,10,18.4,0,,,7.6,,1007.6,
2017-04-23 00:00:00,14.2,8.8,20.3,15.5,,,9.6,,1016.8,
2017-04-24 00:00:00,15,10.1,19.6,0,,,10.2,,1026.5,
2017-04-25 00:00:00,16.6,12,21,0,,,17.2,,1025.8,
2017-04-26 00:00:00,16.5,14.2,19.4,0,,,17.7,,1015,
2017-04-27 00:00:00,14.3,12.1,19.4,3.6,,,11.7,,1005.4,
2017-04-28 00:00:00,15.8,12.2,21.6,0,,,10.1,,1006.9,
2017-04-29 00:00:00,16.2,10.2,23.4,0,,,9.6,,1006.2,
